== ID ==,== Velocity (km/h) ==,== Current route ==,== Distance traveled (m) ==,== Destination ==,== Distance to destination (m) ==,== Type ==,== Battery level (%) ==,== Timestamp ==
ev1,-3865470566.4,,-1073741824.0,E103,-1073741824.0,evehicle,50.0,0.0
ev1,0.0,E165,0.0,E103,1398.8,evehicle,50.0,0.5
ev1,3.92,E165,0.55,E103,1398.25,evehicle,50.0,1.0
ev1,7.96,E165,1.65,E103,1397.15,evehicle,50.0,1.5
ev1,11.38,E165,3.23,E103,1395.57,evehicle,50.0,2.0
ev1,14.62,E165,5.26,E103,1393.54,evehicle,50.0,2.5
ev1,18.11,E165,7.78,E103,1391.02,evehicle,49.97,3.0
ev1,22.39,E165,10.89,E103,1387.91,evehicle,49.97,3.5
ev1,25.63,E165,14.45,E103,1384.35,evehicle,49.97,4.0
ev1,29.09,E165,18.49,E103,1380.31,evehicle,49.94,4.5
ev1,32.62,E165,23.02,E103,1375.78,evehicle,49.94,5.0
ev1,36.83,E165,28.14,E103,1370.66,evehicle,49.91,5.5
ev1,40.54,E165,33.77,E103,1365.03,evehicle,49.89,6.0
ev1,43.38,E165,39.79,E103,1359.01,evehicle,49.89,6.5
ev1,45.25,E165,46.07,E103,1352.73,evehicle,49.86,7.0
ev1,45.4,E165,52.38,E103,1346.42,evehicle,49.86,7.5
ev1,47.16,E165,58.93,E103,1339.87,evehicle,49.86,8.0
ev1,46.66,E165,65.41,E103,1333.39,evehicle,49.86,8.5
ev1,46.12,E165,71.82,E103,1326.98,evehicle,49.86,9.0
ev1,46.84,E165,78.32,E103,1320.48,evehicle,49.86,9.5
ev1,45.79,E165,84.68,E103,1314.12,evehicle,49.86,10.0
ev1,45.54,E165,91.01,E103,1307.79,evehicle,49.86,10.5
ev1,45.43,E165,97.32,E103,1301.48,evehicle,49.86,11.0
ev1,45.76,E165,103.67,E103,1295.13,evehicle,49.86,11.5
ev1,46.26,E165,110.1,E103,1288.7,evehicle,49.86,12.0
ev1,45.86,E165,116.47,E103,1282.33,evehicle,49.86,12.5
ev1,46.08,E165,122.87,E103,1275.93,evehicle,49.86,13.0
ev1,45.76,E165,129.22,E103,1269.58,evehicle,49.86,13.5
ev1,47.27,E165,135.79,E103,1263.01,evehicle,49.83,14.0
ev1,45.65,E165,142.13,E103,1256.67,evehicle,49.86,14.5
ev1,45.32,E165,148.42,E103,1250.38,evehicle,49.86,15.0
ev1,46.66,E165,154.9,E103,1243.9,evehicle,49.83,15.5
ev1,45.25,E165,161.19,E103,1237.61,evehicle,49.83,16.0
ev1,46.58,E165,167.66,E103,1231.14,evehicle,49.83,16.5
ev1,45.83,E165,174.02,E103,1224.78,evehicle,49.83,17.0
ev1,46.19,E165,180.44,E103,1218.36,evehicle,49.83,17.5
ev1,46.15,E165,186.85,E103,1211.95,evehicle,49.83,18.0
ev1,46.3,E165,193.27,E103,1205.53,evehicle,49.83,18.5
ev1,46.98,E165,199.8,E103,1199.0,evehicle,49.83,19.0
ev1,45.29,E165,206.09,E103,1192.71,evehicle,49.83,19.5
ev1,45.97,E165,212.47,E103,1186.33,evehicle,49.83,20.0
ev1,46.94,E165,218.99,E103,1179.81,evehicle,49.83,20.5
ev1,46.55,E165,225.46,E103,1173.34,evehicle,49.83,21.0
ev1,47.3,E165,232.03,E103,1166.77,evehicle,49.83,21.5
ev1,45.25,E165,238.31,E103,1160.49,evehicle,49.83,22.0
ev1,46.19,E165,244.72,E103,1154.08,evehicle,49.83,22.5
ev1,45.9,E165,251.1,E103,1147.7,evehicle,49.83,23.0
ev1,45.97,E165,257.49,E103,1141.31,evehicle,49.83,23.5
ev1,45.86,E165,263.85,E103,1134.95,evehicle,49.83,24.0
ev1,46.22,E165,270.27,E103,1128.53,evehicle,49.8,24.5
ev1,45.25,E165,276.55,E103,1122.25,evehicle,49.83,25.0
ev1,45.68,E165,282.9,E103,1115.9,evehicle,49.8,25.5
ev1,38.09,E165,288.19,E103,1110.61,evehicle,49.86,26.0
ev1,30.1,:J116_3,292.37,E103,1099.32,evehicle,49.89,26.5
ev1,31.28,:J116_3,296.72,E103,1094.97,evehicle,49.86,27.0
ev1,29.88,:J116_3,300.87,E103,1090.82,evehicle,49.89,27.5
ev1,30.89,E166,305.16,E103,1086.53,evehicle,49.86,28.0
ev1,35.46,E166,310.08,E103,1081.61,evehicle,49.86,28.5
ev1,38.05,E166,315.37,E103,1076.32,evehicle,49.83,29.0
ev1,41.15,E166,321.08,E103,1070.61,evehicle,49.83,29.5
ev1,41.8,E166,326.89,E103,1064.8,evehicle,49.83,30.0
ev1,33.7,E166,331.56,E103,1060.13,evehicle,49.86,30.5
ev1,25.6,:J117_3,335.12,E103,1063.68,evehicle,49.89,31.0
ev1,25.7,:J117_3,338.69,E103,1060.11,evehicle,49.89,31.5
ev1,25.34,:J117_3,342.21,E103,1056.59,evehicle,49.89,32.0
ev1,25.31,E167,345.73,E103,1053.07,evehicle,49.89,32.5
ev1,29.16,E167,349.77,E103,1049.03,evehicle,49.86,33.0
ev1,32.69,E167,354.32,E103,1044.48,evehicle,49.86,33.5
ev1,36.58,E167,359.4,E103,1039.4,evehicle,49.83,34.0
ev1,39.35,E167,364.86,E103,1033.94,evehicle,49.8,34.5
ev1,41.83,E167,370.67,E103,1028.13,evehicle,49.8,35.0
ev1,44.96,E167,376.92,E103,1021.88,evehicle,49.77,35.5
ev1,45.29,E167,383.21,E103,1015.59,evehicle,49.77,36.0
ev1,45.32,E167,389.5,E103,1009.3,evehicle,49.77,36.5
ev1,43.78,E167,395.58,E103,1003.22,evehicle,49.77,37.0
ev1,37.76,E167,400.83,E103,997.97,evehicle,49.8,37.5
ev1,29.88,E167,404.98,E103,993.82,evehicle,49.83,38.0
ev1,21.89,:J76_12,408.02,E103,990.78,evehicle,49.86,38.5
ev1,25.85,:J76_15,411.61,E103,987.19,evehicle,49.86,39.0
ev1,28.37,:J76_15,415.55,E103,983.25,evehicle,49.83,39.5
ev1,32.98,:J76_15,420.13,E103,978.67,evehicle,49.83,40.0
ev1,32.08,:J76_15,424.59,E103,974.21,evehicle,49.83,40.5
ev1,26.53,:J76_15,428.27,E103,970.53,evehicle,49.83,41.0
ev1,18.43,-E112,430.83,E103,967.97,evehicle,49.86,41.5
ev1,21.85,:J31_5,433.87,E103,964.93,evehicle,49.86,42.0
ev1,20.05,:J31_5,436.65,E103,962.15,evehicle,49.86,42.5
ev1,20.7,:J31_5,439.52,E103,959.28,evehicle,49.86,43.0
ev1,20.2,-E20,442.33,E103,956.47,evehicle,49.86,43.5
ev1,23.87,-E20,445.64,E103,953.16,evehicle,49.83,44.0
ev1,27.94,-E20,449.52,E103,949.28,evehicle,49.83,44.5
ev1,32.18,-E20,453.99,E103,944.81,evehicle,49.8,45.0
ev1,34.99,-E20,458.85,E103,939.95,evehicle,49.8,45.5
ev1,33.52,-E20,463.51,E103,935.29,evehicle,49.8,46.0
ev1,25.81,-E20,467.09,E103,931.71,evehicle,49.83,46.5
ev1,30.02,-E20,471.26,E103,927.54,evehicle,49.83,47.0
ev1,27.5,:J29_5,475.08,E103,923.72,evehicle,49.83,47.5
ev1,28.73,:J29_5,479.07,E103,919.73,evehicle,49.83,48.0
ev1,27.72,:J29_5,482.92,E103,915.88,evehicle,49.83,48.5
ev1,27.36,:J29_5,486.72,E103,912.08,evehicle,49.83,49.0
ev1,29.16,-E18,490.77,E103,908.03,evehicle,49.8,49.5
ev1,32.62,-E18,495.3,E103,903.5,evehicle,49.8,50.0
ev1,36.11,-E18,500.32,E103,898.48,evehicle,49.77,50.5
ev1,39.85,-E18,505.86,E103,892.94,evehicle,49.77,51.0
ev1,43.45,-E18,511.89,E103,886.91,evehicle,49.74,51.5
ev1,46.33,-E18,518.33,E103,880.47,evehicle,49.71,52.0
ev1,46.26,:J26_8,524.75,E103,874.05,evehicle,49.71,52.5
ev1,46.69,:J26_8,531.24,E103,867.56,evehicle,49.71,53.0
ev1,46.91,:J26_8,537.75,E103,861.05,evehicle,49.71,53.5
